candidato,dia,color,media,ic_025,ic_975,fecha,mediatt,ic_025tt,ic_975tt
MORENA,37,#751438,52.70308609896717,51.29745387922312,54.11007378274634,2021-04-27,53,51.3,54.1
MORENA,38,#751438,50.33615284482328,48.96846488153612,51.703022316637025,2021-04-28,50,49,51.7
MORENA,39,#751438,48.44461247073361,47.29900880876516,49.92072624594847,2021-04-29,48,47.3,49.9
MORENA,40,#751438,47.18979105485078,45.583452970301394,48.83895224234103,2021-04-30,47,45.6,48.8
MORENA,41,#751438,46.42131527660538,45.04751087781245,47.852315113739394,2021-05-01,46,45,47.9
MORENA,42,#751438,46.2114109331008,44.80007699707567,47.37830337067893,2021-05-02,46,44.8,47.4
MORENA,43,#751438,46.319815779485246,44.984566000147936,47.52146310386043,2021-05-03,46,45,47.5
MORENA,44,#751438,46.6563279048914,45.34237829479844,48.20001208610672,2021-05-04,47,45.3,48.2
MORENA,45,#751438,46.89151375617357,45.39725480477846,48.28042596579045,2021-05-05,47,45.4,48.3
MORENA,46,#751438,47.264109251519784,45.862959686612555,48.67215310136817,2021-05-06,47,45.9,48.7
MORENA,47,#751438,47.812261248925765,46.62077037181707,48.72519624064928,2021-05-07,48,46.6,48.7
MORENA,48,#751438,48.44428803207978,47.313179241482615,49.47687475184248,2021-05-08,48,47.3,49.5
MORENA,49,#751438,49.74953398990935,48.62597972218972,50.87627443404396,2021-05-09,50,48.6,50.9
MORENA,50,#751438,50.093879958786644,48.98119346467602,51.0936013602216,2021-05-10,50,49,51.1
MORENA,51,#751438,49.759410518410895,48.475198554314375,50.99161862627965,2021-05-11,50,48.5,51
MORENA,52,#751438,48.404161899004364,46.976366853099385,49.66936107634325,2021-05-12,48,47,49.7
MORENA,53,#751438,47.88088325578755,46.4819998547728,49.0465431809771,2021-05-13,48,46.5,49
MORENA,54,#751438,47.86638015789667,46.50333166016489,49.26006256060476,2021-05-14,48,46.5,49.3
MORENA,55,#751438,47.757145365388794,46.359201029598466,49.289198939019506,2021-05-15,48,46.4,49.3
MORENA,56,#751438,47.653480347663816,46.16226965792157,49.158461108427524,2021-05-16,48,46.2,49.2
MORENA,57,#751438,47.36034749982949,45.89198501284869,48.88127479874349,2021-05-17,47,45.9,48.9
MORENA,58,#751438,47.02944732309039,45.61110171939695,48.826854764690374,2021-05-18,47,45.6,48.8
MORENA,59,#751438,46.68127550500783,44.75127995519189,48.379630171546985,2021-05-19,47,44.8,48.4
MORENA,60,#751438,46.264342871726754,45.04051432188877,47.50790810850152,2021-05-20,46,45,47.5
MORENA,61,#751438,46.280861345505585,44.77754538666681,47.56061367031732,2021-05-21,46,44.8,47.6
MORENA,62,#751438,46.220758395178066,44.76576572399394,47.592056497249004,2021-05-22,46,44.8,47.6
MORENA,63,#751438,46.08931323665656,44.6319582563855,47.4941039499344,2021-05-23,46,44.6,47.5
MORENA,64,#751438,45.49789625486162,43.73640781184993,46.89052997809482,2021-05-24,45,43.7,46.9
MORENA,65,#751438,44.936593036876296,43.342367528982614,46.498105864637466,2021-05-25,45,43.3,46.5
MORENA,66,#751438,44.94191447766894,43.486789137459624,46.58535439668704,2021-05-26,45,43.5,46.6
MORENA,67,#751438,44.72947818538325,43.125870037124805,46.717040229789035,2021-05-27,45,43.1,46.7
MORENA,68,#751438,44.314950795123885,42.25240250059035,46.15829882114697,2021-05-28,44,42.3,46.2
MORENA,69,#751438,43.79620469883557,41.62598696401552,46.010926393064956,2021-05-29,44,41.6,46
MORENA,70,#751438,43.8104509549332,41.380860025402974,46.383248476846425,2021-05-30,44,41.4,46.4
MORENA,71,#751438,43.85369830320138,41.149439924986645,46.84539355072405,2021-05-31,44,41.1,46.8
MORENA,72,#751438,43.86932576626229,40.667539744780484,47.020667076974284,2021-06-01,44,40.7,47
MORENA,73,#751438,43.85760217292321,40.44856190614753,47.5399171387087,2021-06-02,44,40.4,47.5
